nctid,stop_date,stop_status,restart_date,restart_status,why_stopped,covid19_explicit,restart_expected
NCT03921359,2020-07-02,Terminated,NA,NA,In compliance with research restrictions imposed due to the COVID-19 pandemic.,TRUE,FALSE
NCT03931928,2020-07-02,Suspended,2020-10-22,Recruiting,COVID-19 pandemic,TRUE,FALSE
NCT03953209,2020-07-02,Withdrawn,NA,NA,Conflict with funding,FALSE,NA
NCT04174326,2020-07-02,Suspended,2021-01-26,"Active, not recruiting",COVID-19 restrictions,TRUE,FALSE
NCT04207138,2020-07-02,Withdrawn,NA,NA,change sponsor,FALSE,NA
NCT04271839,2020-07-02,Withdrawn,NA,NA,The trial has been terminated early due to the SARS-CoV-2 pandemic.,TRUE,FALSE
NCT02703571,2020-07-03,Terminated,NA,NA,Company decision,FALSE,NA
NCT02994914,2020-07-03,Terminated,NA,NA,Low rythm of inclusions,FALSE,NA
NCT02999152,2020-07-03,Terminated,NA,NA,"Low rythm of inclusions, financial support terminated",FALSE,NA
NCT03643679,2020-07-03,Terminated,NA,NA,Covid-19 quarantines and closures prevented recruitment and assessment of participants.,TRUE,FALSE
NCT03743961,2020-07-03,Terminated,NA,NA,Low rythm of inclusions,FALSE,NA
NCT04083469,2020-07-03,Terminated,NA,NA,Covid-19 resulted in school closures.,TRUE,FALSE
NCT04187378,2020-07-03,Suspended,2022-03-31,Recruiting,"Due to the COVID-19 pandemic, elective surgeries were temporarily delayed in our country. It's targeted to take cases again as of August 2020.",TRUE,TRUE
NCT04236453,2020-07-03,Terminated,NA,NA,COVID-19 pandemic impacted the BE assessment of the trial. The clinical team decided to terminate the trial in order to start a new pivotal BE trial,TRUE,FALSE
NCT04322227,2020-07-03,Terminated,NA,NA,Study termination due to efficacy results of another study,FALSE,NA
NCT04265235,2020-07-05,Terminated,NA,NA,COVID pandemic. Recruited 31 out of target 40 patients.,TRUE,FALSE
NCT04302350,2020-07-05,Suspended,NA,NA,because of the COVID-19 pandemic.,TRUE,FALSE
NCT02655861,2020-07-06,Terminated,NA,NA,NA,FALSE,NA
NCT02695641,2020-07-06,Withdrawn,NA,NA,Unable to enroll patients for the trial.,FALSE,NA
NCT02825446,2020-07-06,Terminated,NA,NA,a significant number of patients were not selected,FALSE,NA
NCT02959502,2020-07-06,Suspended,2020-12-10,Recruiting,temporarily suspended due to COVID-19,TRUE,TRUE
NCT03209869,2020-07-06,Suspended,NA,NA,resources limited due to COVID-19,TRUE,FALSE
NCT03265717,2020-07-06,Terminated,NA,NA,sponsor decision,FALSE,NA
NCT03281902,2020-07-06,Suspended,2021-06-17,"Active, not recruiting",Budget,FALSE,NA
NCT03586414,2020-07-06,Suspended,2021-09-24,Recruiting,COVID-19,TRUE,FALSE
NCT03708380,2020-07-06,Suspended,NA,NA,COVID-19,TRUE,FALSE
NCT03775915,2020-07-06,Terminated,NA,NA,COVID-19 lockdown and halt of clinical trials,TRUE,FALSE
NCT04106505,2020-07-06,Terminated,NA,NA,Recruitment terminated prematurely due to SARS-CoV-2 pandemic,TRUE,FALSE
NCT01335113,2020-07-07,Terminated,NA,NA,Unable to get accurate measurements with existing technology,FALSE,NA
NCT01445821,2020-07-07,Terminated,NA,NA,Developed a better regimen: DIAD. Cast. 2018 NCT03593902,FALSE,NA
NCT01551043,2020-07-07,Terminated,NA,NA,Administrative Reasons,FALSE,NA
NCT01711307,2020-07-07,Terminated,NA,NA,NA,FALSE,NA
NCT01823237,2020-07-07,Suspended,2022-01-24,Recruiting,Enrollment and study activities are temporarily suspended due to COVID-19,TRUE,TRUE
NCT02544503,2020-07-07,Suspended,2020-10-02,Recruiting,Enrollment and study activities are temporarily suspended due to COVID-19.,TRUE,TRUE
NCT02565199,2020-07-07,Suspended,2022-01-24,Recruiting,Enrollment and study activities are temporarily suspended due to COVID-19.,TRUE,TRUE
NCT03444311,2020-07-07,Terminated,NA,NA,Low tolerability of fibers included in the product,FALSE,NA
NCT03460964,2020-07-07,Terminated,NA,NA,Could not perform accurate measures due to equipment and sensor issues.,FALSE,NA
NCT03504917,2020-07-07,Terminated,2020-07-14,Completed,A futility analysis assessed that the study is highly unlikely to meet the pre-defined primary objective of the study. No new safety concerns were identified.,FALSE,NA
NCT03609502,2020-07-07,Suspended,NA,NA,research facilities temporarily closed due to COVID-19,TRUE,TRUE
NCT03628053,2020-07-07,Withdrawn,NA,NA,Novartis is no longer pursuing this study because of planned investigation of novel CAR-T therapies in this patient population.,FALSE,NA
NCT03685773,2020-07-07,Suspended,NA,NA,Temporarily paused due to COVID-19 and expected to resume. This is not a suspension of IRB approval.,TRUE,TRUE
NCT03714867,2020-07-07,Withdrawn,NA,NA,Inability to recruit patients,FALSE,NA
NCT03869814,2020-07-07,Withdrawn,2020-09-21,Completed,Developing new protocol,FALSE,NA
NCT03948464,2020-07-07,Suspended,NA,NA,Temporarily suspended due to COVID-19 precautions,TRUE,TRUE
NCT04060329,2020-07-07,Terminated,NA,NA,Reasons associated with COVID-19 pandemic led to cancellation of Phase 2,TRUE,FALSE
NCT04090242,2020-07-07,Terminated,NA,NA,Enrollment halted prematurely due to the Covid-19 pandemic,TRUE,FALSE
NCT04462341,2020-07-07,Suspended,NA,NA,COVID-19,TRUE,FALSE
NCT04465071,2020-07-07,Suspended,NA,NA,No active recruitment at present due to COVID-19 pandemic,TRUE,FALSE
NCT04468048,2020-07-07,Withdrawn,NA,NA,No participants,FALSE,NA
NCT01757899,2020-07-08,Withdrawn,NA,NA,Technical problems,FALSE,NA
NCT02174770,2020-07-08,Terminated,NA,NA,Lack of resources,FALSE,NA
NCT02227134,2020-07-08,Withdrawn,NA,NA,Unable to perform the ultrasound.,FALSE,NA
NCT02323477,2020-07-08,Terminated,NA,NA,Due to budget limitations as allocated for a given period.,FALSE,NA
NCT02412371,2020-07-08,Terminated,NA,NA,"Phase 2 was not conducted due to a change in the standard of care for newly diagnosed, unresectable Stage III NSCLC",FALSE,NA
NCT02610608,2020-07-08,Terminated,NA,NA,RECRUITMENT DIFFICULTIES,FALSE,NA
NCT02717507,2020-07-08,Suspended,2020-07-29,"Active, not recruiting",Evaluation of currently enrolled patients,FALSE,NA
NCT02840513,2020-07-08,Terminated,NA,NA,Due to insufficient patient recruitment and lack of funding,FALSE,NA
NCT02887118,2020-07-08,Terminated,NA,NA,The recruiting centre was no longer presenting new patients for inclusion,FALSE,NA
NCT02899156,2020-07-08,Terminated,NA,NA,A planned interim analysis led to the trial being stopped early based on the observed size effect and power analysis.,FALSE,NA
NCT02901431,2020-07-08,Terminated,NA,NA,The 24-week analysis indicated no clinical or statistical benefit for the primary endpoint for the overall study population. No new safety concerns identified.,FALSE,NA
NCT03002506,2020-07-08,Terminated,NA,NA,Much slower recruitment than anticipated,FALSE,NA
NCT03003728,2020-07-08,Withdrawn,NA,NA,Withdrawal of study support,FALSE,NA
NCT03321864,2020-07-08,Suspended,NA,NA,PI has left Trust currently.,FALSE,NA
NCT03430544,2020-07-08,Suspended,NA,NA,Suspended: Study halted prematurely but potentially will resume,FALSE,NA
NCT03432572,2020-07-08,Withdrawn,2020-08-10,Completed,enrollment proved difficult,FALSE,NA
NCT03573076,2020-07-08,Terminated,NA,NA,The second study arm including radio-frequency microneedling was withdrawn due to availability of newer treatment options.,FALSE,NA
NCT03757351,2020-07-08,Terminated,NA,NA,Due to change in Sanofi's development strategy for DNL747/SAR443060 - not due to any safety concerns,FALSE,NA
NCT03881995,2020-07-08,Terminated,NA,NA,insufficient recruitment,FALSE,NA
NCT03904706,2020-07-08,Terminated,NA,NA,We were unable to continue field activities due to COVID-19,TRUE,FALSE
NCT04085549,2020-07-08,Suspended,NA,NA,Study was suspended due to Covid-19 situation.,TRUE,FALSE
NCT04090853,2020-07-08,Terminated,2022-05-11,Completed,Slow enrolment and Covid19,TRUE,FALSE
NCT04185155,2020-07-08,Terminated,NA,NA,Halted prematurely - Covid-19 pandemic prevented recruitment/testing in ED,TRUE,FALSE
NCT04467632,2020-07-08,Withdrawn,NA,NA,The principal investigator left the hospital,FALSE,NA
NCT00820716,2020-07-09,Terminated,NA,NA,Difficulties in recruiting patient,FALSE,NA
NCT01705080,2020-07-09,Terminated,NA,NA,Abbott made a decision to not further develop the RDN program.,FALSE,NA
NCT01988090,2020-07-09,Terminated,NA,NA,An interim analysis demonstrated no benefit of high dose vitamin D when compared to standard dose vitamin D in the reduction or prevention of arthralgia,FALSE,NA
NCT02050646,2020-07-09,Suspended,2021-07-27,Completed,Study PI changed institutions,FALSE,NA
NCT02056054,2020-07-09,Suspended,NA,NA,Study PI has moved institutions,FALSE,NA
NCT02741505,2020-07-09,Withdrawn,NA,NA,Funding was not obtained,FALSE,NA
NCT02851056,2020-07-09,Suspended,2022-01-07,"Active, not recruiting",Temporary lack of funding,FALSE,NA
NCT03231527,2020-07-09,Withdrawn,NA,NA,research group's decision,FALSE,NA
NCT03330834,2020-07-09,Terminated,NA,NA,Serious adverse events,FALSE,NA
NCT03361085,2020-07-09,Terminated,NA,NA,"COVID-Epidemic with changes in patient mix, restructuring of wards/departments, new standard-precautions",TRUE,FALSE
NCT03461861,2020-07-09,Suspended,2020-09-30,Recruiting,COVID-19,TRUE,FALSE
NCT03653533,2020-07-09,Terminated,NA,NA,Difficulties for recruitment,FALSE,NA
NCT03797612,2020-07-09,Withdrawn,NA,NA,Study initiation delayed due to COVID 19,TRUE,FALSE
NCT03819933,2020-07-09,Suspended,2020-08-31,Recruiting,Study has temporarily suspended enrollment due to the Covid-19 pandemic.,TRUE,TRUE
NCT03878563,2020-07-09,Terminated,NA,NA,Sponsor-PI left Switzerland,FALSE,NA
NCT04104919,2020-07-09,Withdrawn,NA,NA,Study Initiation delayed due to COVID 19,TRUE,FALSE
NCT04138199,2020-07-09,Terminated,NA,NA,Strategic Considerations,FALSE,NA
NCT04235621,2020-07-09,Suspended,NA,NA,Sponsor decision for administrative reasons,FALSE,NA
NCT04379947,2020-07-09,Withdrawn,NA,NA,research group's decision,FALSE,NA
NCT00003086,2020-07-10,Terminated,NA,NA,no participants enrolled in a three year period,FALSE,NA
NCT02527681,2020-07-10,Terminated,NA,NA,on 07Jul2020 due to slow enrollment; there were no safety concerns.,FALSE,NA
NCT02903407,2020-07-10,Terminated,NA,NA,All enrolled participants completed the study protocol but the study was terminated prior to the goal number of participants due to low recruitment,FALSE,NA
NCT03225924,2020-07-10,Terminated,NA,NA,Stop of drug development,FALSE,NA
NCT03380091,2020-07-10,Terminated,NA,NA,Recruitment challenges,FALSE,NA
NCT03518320,2020-07-10,Terminated,NA,NA,Business objectives have changed,FALSE,NA
NCT03661983,2020-07-10,Terminated,NA,NA,Lack of feasibility for completion of the trial within a reasonable time frame.,FALSE,NA
NCT03672474,2020-07-10,Terminated,NA,NA,Covid19 sanitary crisis,TRUE,FALSE
NCT03686176,2020-07-10,Terminated,NA,NA,Coronavirus (COVID-19)-related pause on all clinical research studies.,TRUE,TRUE
NCT03781089,2020-07-10,Suspended,2020-09-16,Enrolling by invitation,Covid-19,TRUE,FALSE
NCT04032483,2020-07-10,Suspended,NA,NA,Study recruitment temporarily halted due to COVID-19.,TRUE,TRUE
NCT04055012,2020-07-10,Suspended,2021-02-24,Recruiting,FDA Recall of Metformin,FALSE,NA
NCT04127695,2020-07-10,Withdrawn,NA,NA,Strategic considerations,FALSE,NA
NCT04223011,2020-07-10,Withdrawn,NA,NA,"Due to COVID-19, recruitment was halted before we were able to enroll participants. Currently we are unable to resume recruitment due to study staff changes.",TRUE,FALSE
NCT04265014,2020-07-10,Withdrawn,NA,NA,we didn't have any patient,FALSE,NA
NCT04392648,2020-07-10,Withdrawn,NA,NA,Business Decision (no enrollment),FALSE,NA
NCT04468373,2020-07-10,Terminated,NA,NA,Development of next-generation device,FALSE,NA
NCT04468854,2020-07-10,Terminated,NA,NA,Corona-Virus Lockdown (16th March in Switzerland),TRUE,FALSE
NCT04471857,2020-07-10,Terminated,NA,NA,Due to COVID-19 recruitement stopped since intended sample size was an estimation and not based on power calculation,TRUE,FALSE
NCT04472520,2020-07-10,Withdrawn,NA,NA,lack of enrollment,FALSE,NA
NCT02453490,2020-07-11,Terminated,NA,NA,difficultly recruiting,FALSE,NA
NCT03253679,2020-07-11,Suspended,NA,NA,Other - Protocol amendment required for expansion,FALSE,NA
NCT04272034,2020-07-11,Withdrawn,2020-10-26,Not yet recruiting,Business Decision,FALSE,NA
NCT02281994,2020-07-12,Terminated,NA,NA,NA,FALSE,NA
NCT02436590,2020-07-12,Terminated,NA,NA,NA,FALSE,NA
NCT02050607,2020-07-13,Withdrawn,NA,NA,NA,FALSE,NA
NCT02078934,2020-07-13,Withdrawn,NA,NA,Did not receive funding for recruitment.,FALSE,NA
NCT02193152,2020-07-13,Terminated,NA,NA,Terminated by sponsor,FALSE,NA
NCT02418039,2020-07-13,Suspended,NA,NA,The hospital was convert to attend only COVID19,TRUE,FALSE
NCT02752230,2020-07-13,Withdrawn,NA,NA,Attending physician left network,FALSE,NA
NCT02814344,2020-07-13,Terminated,NA,NA,Investigator choice,FALSE,NA
NCT02815501,2020-07-13,Withdrawn,NA,NA,Investigator choice,FALSE,NA
NCT02848508,2020-07-13,Withdrawn,NA,NA,Investigator choice,FALSE,NA
NCT02894086,2020-07-13,Withdrawn,NA,NA,Investigator choice,FALSE,NA
NCT02973009,2020-07-13,Withdrawn,NA,NA,investigator choice,FALSE,NA
NCT03004482,2020-07-13,Suspended,NA,NA,lack of Funding,FALSE,NA
NCT03027934,2020-07-13,Withdrawn,NA,NA,Study population difficult to recruit,FALSE,NA
NCT03079661,2020-07-13,Terminated,NA,NA,investigator choice,FALSE,NA
NCT03090126,2020-07-13,Withdrawn,NA,NA,No possibility to recruit.,FALSE,NA
NCT03107390,2020-07-13,Terminated,NA,NA,investigator choice,FALSE,NA
NCT03115138,2020-07-13,Terminated,NA,NA,investigator choice,FALSE,NA
NCT03139825,2020-07-13,Withdrawn,NA,NA,Not accepted,FALSE,NA
NCT03144661,2020-07-13,Terminated,NA,NA,Strategic Business Decision,FALSE,NA
NCT03285165,2020-07-13,Suspended,NA,NA,NO AVAILABLE FUND,FALSE,NA
NCT03311074,2020-07-13,Withdrawn,NA,NA,Replaced with new observational study design,FALSE,NA
NCT03407976,2020-07-13,Terminated,NA,NA,Funding source withdrew financial support prior to start of Phase II portion of study,FALSE,NA
NCT03602872,2020-07-13,Withdrawn,NA,NA,"Sponsor to start with different protocol, postponed due to COVID",TRUE,TRUE
NCT03647085,2020-07-13,Suspended,NA,NA,Due to COVID-19,TRUE,FALSE
NCT03698227,2020-07-13,Terminated,NA,NA,Lack of efficacy on olaratumab,FALSE,NA
NCT03721393,2020-07-13,Suspended,2020-10-27,Recruiting,"Due to COVID-19, part of the budget used to fund the COST3 trial has been eliminated. The study will start again in the near future.",TRUE,TRUE
NCT03847675,2020-07-13,Suspended,NA,NA,Awaiting IRB approval of amendment,FALSE,NA
NCT04049682,2020-07-13,Withdrawn,NA,NA,Study never recruited subjects,FALSE,NA
NCT04101890,2020-07-13,Suspended,NA,NA,Pandemic preventing recruitment due to regulations limiting personnel in clinical spaces.,TRUE,FALSE
NCT04150666,2020-07-13,Withdrawn,NA,NA,No subjects are willing to participating.,FALSE,NA
NCT04272645,2020-07-13,Withdrawn,NA,NA,Coordinating site change,FALSE,NA
NCT04293172,2020-07-13,Withdrawn,NA,NA,"Study halted prematurely, prior to enrolment of first patient.",FALSE,NA
NCT04331834,2020-07-13,Suspended,2021-02-15,Completed,The study has been suspended until a new epidemic curve occurs.,FALSE,NA
NCT04474652,2020-07-13,Suspended,NA,NA,COVID-19,TRUE,FALSE
NCT04474795,2020-07-13,Suspended,2020-08-03,Recruiting,due to COVID-19,TRUE,FALSE
NCT00992030,2020-07-14,Terminated,NA,NA,Low recruitment and difficulty in having study data,FALSE,NA
NCT01518959,2020-07-14,Terminated,NA,NA,Insufficient recruitment rate; technical issues with sample storage,FALSE,NA
NCT02439307,2020-07-14,Suspended,NA,NA,The hospital was converted to attend only covid19 patients,TRUE,FALSE
NCT02547948,2020-07-14,Withdrawn,NA,NA,NA,FALSE,NA
NCT02547961,2020-07-14,Withdrawn,NA,NA,Project terminated due to revision of local regulations,FALSE,NA
NCT02565901,2020-07-14,Terminated,NA,NA,Terminated due to insufficient funding,FALSE,NA
NCT02575261,2020-07-14,Withdrawn,NA,NA,NA,FALSE,NA
NCT02712905,2020-07-14,Terminated,2021-04-23,"Active, not recruiting",Strategic Business Decision,FALSE,NA
NCT02723942,2020-07-14,Withdrawn,NA,NA,Project terminated due to revision of local regulations,FALSE,NA
NCT02732015,2020-07-14,Terminated,NA,NA,Terminated per PI's request,FALSE,NA
NCT03252171,2020-07-14,Withdrawn,NA,NA,Project terminated due to revision of local regulations,FALSE,NA
NCT03259659,2020-07-14,Terminated,NA,NA,Principal Investigator was leaving the institution.,FALSE,NA
NCT03303690,2020-07-14,Terminated,NA,NA,Arthrex stopped manufacturing the device,FALSE,NA
NCT03439150,2020-07-14,Terminated,NA,NA,slow enrolment,FALSE,NA
NCT03445663,2020-07-14,Terminated,NA,NA,Sponsor business decision not to proceed with the AMG 424 asset.,FALSE,NA
NCT03514407,2020-07-14,Terminated,NA,NA,Strategic Business Decision,FALSE,NA
NCT03621124,2020-07-14,Suspended,NA,NA,Pause due to COVID-19 Pandemic,TRUE,TRUE
NCT03669549,2020-07-14,Terminated,NA,NA,"Following an interim data review, further investment in nevanimibe has been discontinued",FALSE,NA
NCT03676725,2020-07-14,Suspended,2021-07-07,Completed,Pandemic (Covid-19),TRUE,FALSE
NCT03755960,2020-07-14,Suspended,2020-09-15,Recruiting,due to the pandemic clin.research was suspended from 04/2020 on- tbc in 09/2020,TRUE,TRUE
NCT03862846,2020-07-14,Terminated,NA,NA,COVID-19 Pandemic sufficient data gathered to achieve the study objective,TRUE,FALSE
NCT04088032,2020-07-14,Withdrawn,NA,NA,Per sponsor,FALSE,NA
NCT04135768,2020-07-14,Withdrawn,NA,NA,COVID19 pandemic: national lockdown imposed and study centre diverted all trauma cases to surrounding hospitals,TRUE,FALSE
NCT04167189,2020-07-14,Suspended,2021-06-30,Completed,Pandemic (Covid 19),TRUE,FALSE
NCT04176978,2020-07-14,Suspended,NA,NA,Lack of funding,FALSE,NA
NCT04411134,2020-07-14,Withdrawn,NA,NA,Closed based on the lack of perceived clinical activity observed from a different study treating a similar patient population with same study agent.,FALSE,NA
NCT04476693,2020-07-14,Suspended,NA,NA,Unable to recruit due to school closures in response to Covid-19,TRUE,FALSE
NCT02032784,2020-07-15,Terminated,NA,NA,Difficult to enroll subjects,FALSE,NA
NCT02333409,2020-07-15,Terminated,NA,NA,Expertise resigned,FALSE,NA
NCT02798939,2020-07-15,Terminated,NA,NA,investigator choice,FALSE,NA
NCT02819544,2020-07-15,Withdrawn,NA,NA,investigator choice,FALSE,NA
NCT02828800,2020-07-15,Terminated,NA,NA,investigator choice,FALSE,NA
NCT03132818,2020-07-15,Withdrawn,NA,NA,investigator choice,FALSE,NA
NCT03145870,2020-07-15,Withdrawn,NA,NA,investigator choice,FALSE,NA
NCT03149952,2020-07-15,Withdrawn,NA,NA,investigator choice,FALSE,NA
NCT03167151,2020-07-15,Terminated,NA,NA,The study failed to recruit within the permitted timeframe,FALSE,NA
NCT03295656,2020-07-15,Withdrawn,NA,NA,Unanticipated delays.,FALSE,NA
NCT03342638,2020-07-15,Terminated,NA,NA,PI Sabbatical,FALSE,NA
NCT03473665,2020-07-15,Terminated,NA,NA,Slow recruitment,FALSE,NA
NCT03537521,2020-07-15,Withdrawn,NA,NA,due to corona pandemic crisis,TRUE,FALSE
NCT03593902,2020-07-15,Terminated,NA,NA,PI Sabbatical,FALSE,NA
NCT03696901,2020-07-15,Terminated,NA,NA,Terminated,FALSE,NA
NCT03797430,2020-07-15,Withdrawn,NA,NA,NO PARTICIPANTS ENROLLED,FALSE,NA
NCT03809650,2020-07-15,Terminated,NA,NA,Due to a change in the development strategy,FALSE,NA
NCT03910790,2020-07-15,Withdrawn,NA,NA,A competing study made it challenging to enroll subjects.,FALSE,NA
NCT03983486,2020-07-15,Withdrawn,NA,NA,technical problem,FALSE,NA
NCT04192513,2020-07-15,Suspended,NA,NA,Covid-19 has shut the clinic indefinitely,TRUE,FALSE
NCT04315051,2020-07-15,Suspended,NA,NA,Covid- 19 has shut the clinic,TRUE,FALSE
NCT04345614,2020-07-15,Suspended,2020-08-15,Recruiting,"FDA strongly recommended transitioning to blinded, placebo-controlled RCT.",FALSE,NA
NCT00388739,2020-07-16,Withdrawn,NA,NA,Different study was designed,FALSE,NA
NCT02781961,2020-07-16,Terminated,NA,NA,NA,FALSE,NA
NCT03008980,2020-07-16,Withdrawn,2021-10-27,Completed,"Study halted prematurely, prior to enrollment of first participant.",FALSE,NA
NCT03214809,2020-07-16,Terminated,NA,NA,Slow inclusion rate (partly due to Covid-19),TRUE,FALSE
NCT03214835,2020-07-16,Withdrawn,NA,NA,"Study halted prematurely, prior to enrollment of first participant.",FALSE,NA
NCT03399097,2020-07-16,Withdrawn,NA,NA,change sites,FALSE,NA
NCT03414112,2020-07-16,Suspended,2021-03-09,Recruiting,Recruitment is suspended due to COVID-19.,TRUE,FALSE
NCT03632954,2020-07-16,Terminated,NA,NA,Sponsor Decision,FALSE,NA
NCT04043520,2020-07-16,Suspended,2021-07-13,Recruiting,COVID-19 Closure,TRUE,FALSE
NCT04231188,2020-07-16,Terminated,NA,NA,Delay in recruitment due to corona virus pandemic resulted in a newer version of mobile app made available and testing on the old version will be redundant.,TRUE,FALSE
NCT04298814,2020-07-16,Withdrawn,NA,NA,It was repeated with other studies in the same department,FALSE,NA
NCT04475861,2020-07-16,Withdrawn,NA,NA,no participants enrolled,FALSE,NA
NCT04477642,2020-07-16,Withdrawn,NA,NA,Funding,FALSE,NA
NCT02651116,2020-07-17,Terminated,NA,NA,The study was prematurely discontinued due to slow enrollment during the 2019/2020 cold season. No safety or efficacy concerns led to the decision to terminate,FALSE,NA
NCT03545165,2020-07-17,Terminated,NA,NA,Sponsor withdrawal,FALSE,NA
NCT03586934,2020-07-17,Terminated,NA,NA,Difficult to enroll patients for the study,FALSE,NA
NCT03607864,2020-07-17,Terminated,NA,NA,because bone osteointegration is completed,FALSE,NA
NCT03978416,2020-07-17,Terminated,NA,NA,The study was terminated due to the SARS-CoV-2 pandemic. Aim 1 was completed.,TRUE,FALSE
NCT04277442,2020-07-17,Suspended,NA,NA,Other - Pending amendment to address FDA comments,FALSE,NA
NCT04439305,2020-07-17,Withdrawn,NA,NA,zero accrual,FALSE,NA
NCT03234387,2020-07-18,Suspended,NA,NA,Poor recruitment,FALSE,NA
NCT03237767,2020-07-18,Suspended,NA,NA,Poor recruitment,FALSE,NA
NCT03239951,2020-07-19,Terminated,NA,NA,Due to the COVID-19 outbreak and the overall low recruitment,TRUE,FALSE
NCT03588936,2020-07-19,Terminated,NA,NA,Halted for convenience due to COVID19 challenges.,TRUE,FALSE
NCT03955718,2020-07-19,Withdrawn,NA,NA,The study stopped because of delays in the development of the smartphone app intervention,FALSE,NA
NCT02662634,2020-07-20,Withdrawn,NA,NA,NA,FALSE,NA
NCT03304990,2020-07-20,Withdrawn,NA,NA,PI has left our Inst.,FALSE,NA
NCT03513458,2020-07-20,Withdrawn,NA,NA,[The risk of inhaled allergen challenge and anakinra treatment outweigh benefits to participants with allergic asthma due to the COVID-19 pandemic.,TRUE,FALSE
NCT03513471,2020-07-20,Withdrawn,NA,NA,The risk of inhaled allergen challenge and anakinra treatment outweigh benefits to participants with allergic asthma due to the COVID-19 pandemic.,TRUE,FALSE
NCT03652298,2020-07-20,Terminated,NA,NA,Lack of recruitment and of study staff,FALSE,NA
NCT03663790,2020-07-20,Suspended,2020-12-18,Recruiting,Temporarily paused due to COVID-19 and expected to resume. This is not a suspension of IRB approval.,TRUE,TRUE
NCT03676712,2020-07-20,Terminated,NA,NA,Recruitment of subjects was not successful.,FALSE,NA
NCT03687476,2020-07-20,Withdrawn,NA,NA,Business decision to Cancel,FALSE,NA
NCT03776864,2020-07-20,Suspended,2021-02-23,Recruiting,Unacceptable Toxicity,FALSE,NA
NCT03864393,2020-07-20,Suspended,2021-07-26,Completed,Paused due to COVID-19. Expected to resume. Not a suspension of IRB approval.,TRUE,TRUE
NCT03872336,2020-07-20,Terminated,NA,NA,Slow enrollment,FALSE,NA
NCT03877692,2020-07-20,Terminated,NA,NA,Slow enrollment,FALSE,NA
NCT04023721,2020-07-20,Terminated,NA,NA,Safety,FALSE,NA
NCT04248361,2020-07-20,Suspended,NA,NA,COVID-19,TRUE,FALSE
NCT01652157,2020-07-21,Terminated,NA,NA,Strategic considerations,FALSE,NA
NCT02075047,2020-07-21,Terminated,NA,NA,"Based on recent input from FDA, the pre-specified final analysis will be performed at the current enrollment using a re-estimation of the sample size.",FALSE,NA
NCT02180152,2020-07-21,Withdrawn,NA,NA,NA,FALSE,NA
NCT02687477,2020-07-21,Terminated,NA,NA,Lack of patients meeting the criteria for admission,FALSE,NA
NCT02717650,2020-07-21,Suspended,NA,NA,Validation study suspended due to Covid-19 restrictions-will resume when able,TRUE,TRUE
NCT02864355,2020-07-21,Terminated,NA,NA,Minimally invasive surgical methods have ceased enrollment,FALSE,NA
NCT03067480,2020-07-21,Terminated,NA,NA,Low enrollment,FALSE,NA
NCT03128580,2020-07-21,Terminated,NA,NA,"After an interim analysis, it was decided to discontinue the study after a stochastic curtailment analysis.",FALSE,NA
NCT03324516,2020-07-21,Withdrawn,NA,NA,"Due to limited support staff and time, study was unable to get started",FALSE,NA
NCT03331666,2020-07-21,Terminated,NA,NA,Terminated Prematurely due to COVID-19,TRUE,FALSE
NCT03341143,2020-07-21,Suspended,2021-01-13,Recruiting,"Study suspended due to COVID 19. Study recruitment estimated to resume by September, 2020.",TRUE,TRUE
NCT03390413,2020-07-21,Withdrawn,NA,NA,Logistics and lack of funding,FALSE,NA
NCT03393117,2020-07-21,Withdrawn,NA,NA,No accrual,FALSE,NA
NCT03586778,2020-07-21,Suspended,NA,NA,COVID-19,TRUE,FALSE
NCT03730896,2020-07-21,Terminated,NA,NA,Not enough viable subjects,FALSE,NA
NCT03930225,2020-07-21,Suspended,NA,NA,Covid 19 Break has caused the research to stop temporarily for safety of participants and conductors,TRUE,TRUE
NCT03993379,2020-07-21,Terminated,NA,NA,Sponsor's Decision,FALSE,NA
NCT04059653,2020-07-21,Terminated,NA,NA,COVID19 pandemic. Cannot recruit from primary care during pandemic,TRUE,FALSE
NCT04199481,2020-07-21,Withdrawn,NA,NA,Study stopped due to product discontinuation by manufacturer,FALSE,NA
NCT01982149,2020-07-22,Terminated,NA,NA,Lack of funding,FALSE,NA
NCT02188511,2020-07-22,Terminated,NA,NA,Lack of funding,FALSE,NA
NCT02247648,2020-07-22,Terminated,NA,NA,NA,FALSE,NA
NCT02531295,2020-07-22,Suspended,NA,NA,Temporary pause on non-COVID clinical trial recruitment at study site,TRUE,TRUE
NCT02675218,2020-07-22,Terminated,NA,NA,No more inclusion,FALSE,NA
NCT02727127,2020-07-22,Terminated,NA,NA,Lost funding due to low enrollment,FALSE,NA
NCT02730884,2020-07-22,Terminated,NA,NA,Terminated Per PIs request due to low accrual,FALSE,NA
NCT02911467,2020-07-22,Terminated,NA,NA,Low Accrual,FALSE,NA
NCT03198156,2020-07-22,Terminated,NA,NA,Funding Stopped,FALSE,NA
NCT03216538,2020-07-22,Terminated,2020-11-03,Completed,Sponsor's decision.,FALSE,NA
NCT03651531,2020-07-22,Terminated,NA,NA,Trial halted early due to limited ability to recruit participants,FALSE,NA
NCT03822195,2020-07-22,Withdrawn,NA,NA,PI changed Institution,FALSE,NA
NCT03839940,2020-07-22,Suspended,2020-11-10,"Active, not recruiting",New drug distribution process,FALSE,NA
